"AU_scale";"AU";"Area_km2";"Substance";"Type";"Matrix";"CR";"ConfThresh";"CountStations";"CountData";"ConfSpatial";"ConfMethod";"ConfTemp"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"PFOS";"Org";"Biota";0.028182212;"H";3;3;"M";"L";"M"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"SBD6";"Org";"Biota";33.14716512;"H";3;3;"M";"H";"L"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"SCB6";"Org";"Biota";0.086499784;"H";3;3;"M";"M";"L"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"SDX";"Org";"Biota";0.230295875;"H";3;3;"M";"H";"L"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"CS-137";"Rad";"Water";1.616732193;"H";1;1;"L";"H";"H"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"CS-137";"Rad";"Biota";2.08;"H";1;1;"L";"L";"L"
3;"Åland Sea - Archipelago Sea Finnish coastal water";14341.4191511;"HG";"HM";"Biota";4;"H";6;6;"M";"L";"H"
3;"Åland Sea - Archipelago Sea Finnish coastal water";14341.4191511;"PFOS";"Org";"Biota";0.226373626;"H";2;4;"M";"H";"M"
3;"Åland Sea - Archipelago Sea Finnish coastal water";14341.4191511;"SBD6";"Org";"Biota";277.7777778;"H";2;2;"L";"M";"H"
3;"Åland Sea - Archipelago Sea Finnish coastal water";14341.4191511;"SCB6";"Org";"Biota";0.234213308;"H";2;2;"L";"H";"L"
3;"Åland Sea - Archipelago Sea Finnish coastal water";14341.4191511;"HG";"HM";"Biota";10.90871211;"H";6;6;"M";"M";"M"
3;"Åland Sea - Archipelago Sea Finnish coastal water";14341.4191511;"HG";"HM";"Biota";8;"H";6;6;"M";"L";"M"
3;"Åland Sea - Archipelago Sea Finnish coastal water";14341.4191511;"HG";"HM";"Biota";2;"H";6;6;"M";"H";"M"
3;"Åland Sea - Archipelago Sea Finnish coastal water";14341.4191511;"HG";"HM";"Biota";7.673982017;"H";6;6;"M";"L";"H"
3;"Åland Sea - Archipelago Sea Finnish coastal water";14341.4191511;"HBCD";"Org";"Biota";0.003380334;"H";1;1;"L";"H";"H"
3;"Åland Sea - Archipelago Sea Finnish coastal water";14341.4191511;"HG";"HM";"Biota";2;"H";6;6;"M";"H";"H"
3;"Åland Sea - Archipelago Sea Finnish coastal water";14341.4191511;"PFOS";"Org";"Biota";0.10989011;"H";2;4;"M";"M";"H"
3;"Åland Sea - Archipelago Sea Finnish coastal water";14341.4191511;"PFOS";"Org";"Biota";0.191380659;"H";2;4;"M";"L";"M"
3;"Åland Sea - Archipelago Sea Finnish coastal water";14341.4191511;"PFOS";"Org";"Biota";0.154091718;"H";2;4;"M";"L";"L"
3;"Åland Sea - Archipelago Sea Finnish coastal water";14341.4191511;"SBD6";"Org";"Biota";53.47967901;"H";2;2;"L";"H";"L"
3;"Åland Sea - Archipelago Sea Finnish coastal water";14341.4191511;"SCB6";"Org";"Biota";0.223276297;"H";2;2;"L";"H";"M"
3;"Northern Baltic Proper Estonian Coastal waters";1863.48124417;"PB";"HM";"Biota";1.75874821;"H";1;1;"M";"H";"L"
3;"Northern Baltic Proper Estonian Coastal waters";1863.48124417;"SCB6";"Org";"Biota";0.132186667;"H";1;1;"M";"H";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";21.5;"H";18;18;"H";"M";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";5.979130372;"H";18;18;"H";"M";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HBCD";"Org";"Biota";0.002359986;"H";4;4;"M";"H";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"PFOS";"Org";"Biota";0.210989011;"H";6;12;"H";"L";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"PFOS";"Org";"Biota";0.389010989;"H";6;12;"H";"L";"M"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"PFOS";"Org";"Biota";0.422370925;"H";6;12;"H";"M";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"SBD6";"Org";"Biota";34.98269896;"H";6;6;"M";"M";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"SCB6";"Org";"Biota";0.22827451;"H";6;6;"M";"L";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";6.624575458;"H";18;18;"H";"L";"M"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";10;"H";18;18;"H";"L";"M"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";8.623224455;"H";18;18;"H";"M";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";9.949874371;"H";18;18;"H";"M";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HBCD";"Org";"Biota";0.000945477;"H";4;4;"M";"L";"M"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";1.953263461;"H";18;18;"H";"M";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"PB";"HM";"Biota";0.383869703;"H";1;1;"L";"M";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"PFOS";"Org";"Biota";0.051261116;"H";6;12;"H";"H";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"SBD6";"Org";"Biota";9.771641481;"H";6;6;"M";"H";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"SCB6";"Org";"Biota";0.081911143;"H";6;6;"M";"H";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";2.5;"H";18;18;"H";"M";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";4.147288271;"H";18;18;"H";"L";"L"
