"Station";"longitude";"latitude";"Matrix";"Substance";"Type";"CR";"Units";"Response";"ConfThresh";"ConfStatus";"Datatype"
"NORM-Hadsundoest";10.12733;56.71683;"Biota";"CD";"HM";0.406468531;"All";"+";"H";"H";"All"
"NORM-Hadsundoest";10.12733;56.71683;"Biota";"FLU";"Org";0.341666667;"All";"+";"H";"H";"All"
"NORM-Hadsundoest";10.12733;56.71683;"Biota";"HG";"HM";0.567;"All";"+";"H";"H";"All"
"NORM-Hadsundoest";10.12733;56.71683;"Biota";"PB";"HM";0.677783755;"All";"+";"H";"H";"All"
"NORM-HobroLyst";9.817;56.64267;"Biota";"BAP";"Org";0.1;"All";"+";"H";"H";"All"
"NORM-HobroLyst";9.817;56.64267;"Biota";"CD";"HM";0.461742424;"All";"+";"H";"H";"All"
"NORM-HobroLyst";9.817;56.64267;"Biota";"FLU";"Org";0.176666667;"All";"+";"H";"H";"All"
"NORM-HobroLyst";9.817;56.64267;"Biota";"HG";"HM";0.69589;"All";"+";"H";"H";"All"
"NORM-HobroLyst";9.817;56.64267;"Biota";"PB";"HM";0.593006993;"All";"+";"H";"H";"All"
"NORM-kattegatV";10.51633;56.86667;"Biota";"BAP";"Org";0.12;"All";"+";"H";"H";"All"
"NORM-kattegatV";10.51633;56.86667;"Biota";"CD";"HM";1.389546843;"All";"+";"H";"H";"All"
"NORM-kattegatV";10.51633;56.86667;"Biota";"FLU";"Org";0.12489996;"All";"+";"H";"H";"All"
"NORM-kattegatV";10.51633;56.86667;"Biota";"HG";"HM";0.483376296;"All";"+";"H";"H";"All"
"NORM-kattegatV";10.51633;56.86667;"Biota";"PB";"HM";0.741832325;"All";"+";"H";"H";"All"
"NORM-Letholt";10.5155;57.37833;"Biota";"BAP";"Org";0.146;"All";"+";"H";"H";"All"
"NORM-Letholt";10.5155;57.37833;"Biota";"CD";"HM";1.163490676;"All";"+";"H";"H";"All"
"NORM-Letholt";10.5155;57.37833;"Biota";"FLU";"Org";0.118;"All";"+";"H";"H";"All"
